source_table,record_id,issue_type
control_telemetry,TEL-328f9596e77b,stale
control_telemetry,TEL-860b70c915bb,stale
control_telemetry,TEL-02bb5d96a99d,stale
control_telemetry,TEL-825cb5c92825,stale
control_telemetry,TEL-d4104b1e85b2,stale
control_telemetry,TEL-14dce90a5436,stale
control_telemetry,TEL-61324d4195c2,stale
control_telemetry,TEL-3950ab2bb1c5,stale
control_telemetry,TEL-38fa9179b5e6,stale
control_telemetry,TEL-94b7c0609791,invalid
control_telemetry,TEL-b37221c1bea8,stale
control_telemetry,TEL-4724a151fcc4,invalid
control_telemetry,TEL-234c04dd6bec,missing
control_telemetry,TEL-feb26061cd1c,invalid
control_telemetry,TEL-0f21cd82a09e,stale
control_telemetry,TEL-de86dc474c44,missing
control_telemetry,TEL-2b5642daffd9,stale
control_telemetry,TEL-39babadbf7a1,missing
control_telemetry,TEL-d770413a591f,invalid
control_telemetry,TEL-89fa27f96ce4,stale
control_telemetry,TEL-370a45378f81,invalid
control_telemetry,TEL-2afb116c7e9d,invalid
control_telemetry,TEL-70c532ccfc64,missing
control_telemetry,TEL-b853c0a9584a,stale
control_telemetry,TEL-ec9377277bd9,missing
control_telemetry,TEL-2261fe453ff5,missing
control_telemetry,TEL-548ea7caa2bd,invalid
control_telemetry,TEL-548ea7caa2bd,stale
control_telemetry,TEL-f6cfd5fa0141,missing
control_telemetry,TEL-ef924c362d81,stale
control_telemetry,TEL-7f7c0f0c04eb,stale
control_telemetry,TEL-e5807a08dd8b,missing
control_telemetry,TEL-a8dab7a361eb,stale
control_telemetry,TEL-41fb5bd6419d,stale
control_telemetry,TEL-3ecbf9eca4b7,stale
control_telemetry,TEL-927fbbe4e73f,missing
control_telemetry,TEL-11666b932d04,missing
control_telemetry,TEL-84ace2138ae6,stale
control_telemetry,TEL-aae832756a48,stale
control_telemetry,TEL-af6d46148581,invalid
control_telemetry,TEL-6bd09fc59a7c,invalid
control_telemetry,TEL-b68e106d19fc,stale
control_telemetry,TEL-a458c9b3e690,stale
control_telemetry,TEL-1e15321ed677,stale
control_telemetry,TEL-ba5dc4696fad,stale
control_telemetry,TEL-87a1736f9eda,invalid
control_telemetry,TEL-efe4c39ba63d,stale
control_telemetry,TEL-1fb4bda0223c,stale
control_telemetry,TEL-38f73b29e64f,stale
control_telemetry,TEL-1aa24126b06c,stale
control_telemetry,TEL-2035bb3ae714,stale
control_telemetry,TEL-aa19871afd78,missing
control_telemetry,TEL-1d5029c07b0f,stale
control_telemetry,TEL-99df52af0e71,invalid
control_telemetry,TEL-a21638dcd8a6,missing
control_telemetry,TEL-8a72dac5ebda,stale
control_telemetry,TEL-54a7d290fca5,missing
control_telemetry,TEL-456d0c0c61df,stale
control_telemetry,TEL-60d00f51e097,invalid
control_telemetry,TEL-90f80ddb1298,stale
control_telemetry,TEL-0889cde6347f,stale
control_telemetry,TEL-841407dec527,stale
control_telemetry,TEL-5ca86a90948b,stale
control_telemetry,TEL-d0966ddf49b0,stale
control_telemetry,TEL-a8fc07bb09ac,missing
control_telemetry,TEL-826afda9766c,stale
control_telemetry,TEL-0674d5b5c973,stale
control_telemetry,TEL-8f9a8c7f4fd9,stale
control_telemetry,TEL-592aa9e61fd5,stale
control_telemetry,TEL-8455a44c4d2e,invalid
control_telemetry,TEL-662b3a162250,stale
control_telemetry,TEL-a8ad1cb9591d,invalid
control_telemetry,TEL-f7ed9cf998b8,stale
control_telemetry,TEL-6fcdbe3d6d2e,stale
control_telemetry,TEL-0e0765383f95,stale
control_telemetry,TEL-68f0198bf349,invalid
control_telemetry,TEL-63062a88c12e,stale
control_telemetry,TEL-5451a561f153,missing
control_telemetry,TEL-00e5101bb33e,missing
control_telemetry,TEL-7eee48eb9a6d,stale
control_telemetry,TEL-a9269a91c0f9,invalid
control_telemetry,TEL-1c30560df2ce,stale
control_telemetry,TEL-03d4f0d91924,stale
control_telemetry,TEL-98aa3dd2ee04,invalid
control_telemetry,TEL-501d9c7373bc,invalid
control_telemetry,TEL-3db8b68cb5ab,stale
control_telemetry,TEL-87a8e3ab7146,stale
control_telemetry,TEL-750986344096,stale
control_telemetry,TEL-70188d07c7b9,stale
control_telemetry,TEL-0bbe252ca4f6,missing
control_telemetry,TEL-eeb6366ddd1a,stale
control_telemetry,TEL-1c03a41a0bce,stale
control_telemetry,TEL-b9a05ef390db,stale
control_telemetry,TEL-ef732ce49c2d,invalid
control_telemetry,TEL-134f169d3cb3,invalid
control_telemetry,TEL-30f827d70efe,stale
control_telemetry,TEL-497110ff35b2,stale
