telemetry_id,control_id,asset_id,timestamp,coverage_percentage,compliance_percentage,health_status,event_count,source,data_quality,freshness_timestamp,period
TEL-215bd11d4d32,CTRL-EDR,AST-00023,2026-05-12T14:23:38.249549,61.0,47.4,HEALTHY,57,agent,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-75f76b5a932c,CTRL-EDR,AST-00023,2026-08-06T14:23:38.249549,96.5,69.3,DEGRADED,8,agent,GOOD,2026-08-06T14:23:38.249549,CURRENT
TEL-218df8964359,CTRL-EDR,AST-00167,2026-05-10T14:23:38.249549,48.0,57.9,HEALTHY,119,syslog,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-210093875bb1,CTRL-EDR,AST-00167,2026-08-06T00:23:38.249549,63.9,87.0,HEALTHY,148,agent,GOOD,2026-08-06T00:23:38.249549,CURRENT
TEL-64452e06eeeb,CTRL-EDR,AST-00147,2026-05-12T14:23:38.249549,66.9,57.9,HEALTHY,338,syslog,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-007f862f228b,CTRL-EDR,AST-00147,2026-08-06T02:23:38.249549,89.9,86.4,DEGRADED,450,syslog,DEGRADED,2026-08-06T02:23:38.249549,CURRENT
TEL-c3aa19aa46ba,CTRL-EDR,AST-00060,2026-05-15T14:23:38.249549,63.8,54.9,HEALTHY,356,cloud_api,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-7a931b915c05,CTRL-EDR,AST-00060,2026-08-01T11:23:38.249549,89.5,89.3,HEALTHY,123,agent,GOOD,2026-08-01T11:23:38.249549,CURRENT
TEL-edb63c42e60b,CTRL-EDR,AST-00137,2026-05-13T14:23:38.249549,66.2,67.4,HEALTHY,130,agent,GOOD,2026-05-13T14:23:38.249549,BASELINE
TEL-14083abd3065,CTRL-EDR,AST-00137,2026-08-02T16:23:38.249549,100,93.7,HEALTHY,274,syslog,GOOD,2026-08-02T16:23:38.249549,CURRENT
TEL-11a1e902e438,CTRL-EDR,AST-00190,2026-05-10T14:23:38.249549,46.5,58.1,HEALTHY,343,syslog,GOOD,2026-05-10T14:23:38.249549,BASELINE
TEL-932efe888824,CTRL-EDR,AST-00190,2026-08-06T14:23:38.249549,71.0,73.9,HEALTHY,465,agent,GOOD,2026-08-06T14:23:38.249549,CURRENT
TEL-ea26ce1e0521,CTRL-EDR,AST-00186,2026-05-11T14:23:38.249549,50.7,62.4,HEALTHY,468,agent,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-69f94dfb4b12,CTRL-EDR,AST-00186,2026-08-01T04:23:38.249549,84.2,92.5,HEALTHY,183,cloud_api,GOOD,2026-08-01T04:23:38.249549,CURRENT
TEL-773f48eedb70,CTRL-EDR,AST-00010,2026-05-13T14:23:38.249549,60.4,43.0,DEGRADED,189,cloud_api,GOOD,2026-05-13T14:23:38.249549,BASELINE
TEL-41d0a2871c14,CTRL-EDR,AST-00010,2026-07-31T12:23:38.249549,87.8,77.6,HEALTHY,133,syslog,DEGRADED,2026-07-31T12:23:38.249549,CURRENT
TEL-6e49962113a2,CTRL-EDR,AST-00045,2026-05-13T14:23:38.249549,62.4,44.6,HEALTHY,335,syslog,GOOD,2026-05-13T14:23:38.249549,BASELINE
TEL-c2a5dbb64404,CTRL-EDR,AST-00045,2026-08-02T13:23:38.249549,87.8,66.2,HEALTHY,378,cloud_api,GOOD,2026-08-02T13:23:38.249549,CURRENT
TEL-c618a412feb1,CTRL-EDR,AST-00107,2026-05-11T14:23:38.249549,67.0,44.2,FAILED,490,agent,GOOD,2026-05-11T14:23:38.249549,BASELINE
TEL-a60cf4990d9b,CTRL-EDR,AST-00107,2026-07-29T20:23:38.249549,90.8,70.1,DEGRADED,24,agent,GOOD,2026-07-29T20:23:38.249549,CURRENT
TEL-44546510172b,CTRL-EDR,AST-00046,2026-05-14T14:23:38.249549,70.3,61.2,HEALTHY,341,syslog,DEGRADED,2026-05-14T14:23:38.249549,BASELINE
TEL-328f9596e77b,CTRL-EDR,AST-00046,2026-08-03T18:23:38.249549,91.1,76.4,HEALTHY,6,agent,GOOD,2026-07-14T14:23:38.249549,CURRENT
TEL-97dcf15200d8,CTRL-EDR,AST-00213,2026-05-15T14:23:38.249549,53.2,40.5,DEGRADED,54,agent,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-1efedcf1d65d,CTRL-EDR,AST-00213,2026-08-04T00:23:38.249549,92.7,71.8,HEALTHY,181,cloud_api,GOOD,2026-08-04T00:23:38.249549,CURRENT
TEL-f0bb39ecb4f9,CTRL-EDR,AST-00102,2026-05-15T14:23:38.249549,47.4,53.8,DEGRADED,41,syslog,BAD,2026-05-15T14:23:38.249549,BASELINE
TEL-860b70c915bb,CTRL-EDR,AST-00102,2026-08-06T05:23:38.249549,86.4,73.6,HEALTHY,282,cloud_api,GOOD,2026-07-19T14:23:38.249549,CURRENT
TEL-e02082b086f2,CTRL-EDR,AST-00202,2026-05-12T14:23:38.249549,45.3,55.0,FAILED,458,syslog,DEGRADED,2026-05-12T14:23:38.249549,BASELINE
TEL-543d55037257,CTRL-EDR,AST-00202,2026-08-02T14:23:38.249549,64.6,78.7,HEALTHY,290,cloud_api,GOOD,2026-08-02T14:23:38.249549,CURRENT
TEL-fbd37fe71857,CTRL-EDR,AST-00127,2026-05-15T14:23:38.249549,72.7,48.4,DEGRADED,8,agent,GOOD,2026-05-15T14:23:38.249549,BASELINE
TEL-b4db88f1333a,CTRL-EDR,AST-00127,2026-08-08T06:23:38.249549,100,74.3,HEALTHY,39,cloud_api,GOOD,2026-08-08T06:23:38.249549,CURRENT
TEL-df4890603be1,CTRL-EDR,AST-00048,2026-05-12T14:23:38.249549,52.2,51.7,HEALTHY,352,syslog,GOOD,2026-05-12T14:23:38.249549,BASELINE
TEL-803ae4738fb6,CTRL-EDR,AST-00048,2026-08-04T12:23:38.249549,88.1,84.6,HEALTHY,118,agent,GOOD,2026-08-04T12:23:38.249549,CURRENT
TEL-64501d1dd985,CTRL-EDR,AST-00192,2026-05-10T14:23:38.249549,68.1,51.9,FAILED,251,agent,GOOD,2026-05-10T14:23:38.249549,BASELINE
