incident_id,asset_id,incident_type,severity,detected_at,resolved_at,status,root_cause,control_related,business_impact,financial_impact_estimate,period
INC-000001,AST-00191,Data Leakage,MEDIUM,2026-04-21T06:38:24.971550,2026-04-25T06:38:24.971550,RESOLVED,Third-party compromise,,MEDIUM,1171.44,BASELINE
INC-000002,AST-00017,Malware,MEDIUM,2026-04-22T18:14:03.095899,,OPEN,Unknown,CTRL-PATCH,LOW,1079.94,BASELINE
INC-000003,AST-00188,Data Leakage,HIGH,2026-04-27T05:00:49.586514,2026-04-28T06:00:49.586514,RESOLVED,Misconfiguration,,LOW,45967.83,BASELINE
INC-000004,AST-00005,Credential Compromise,LOW,2026-05-09T19:31:13.172316,2026-05-11T08:31:13.172316,RESOLVED,Phishing click,CTRL-EMAILSEC,LOW,2176.8,BASELINE
INC-000005,AST-00183,Data Leakage,LOW,2026-05-02T16:34:08.780050,,OPEN,Misconfiguration,,MEDIUM,2667.32,BASELINE
INC-000006,AST-00058,Data Leakage,HIGH,2026-05-06T10:57:09.152902,2026-05-10T04:57:09.152902,RESOLVED,Unpatched vulnerability,CTRL-MFA,HIGH,40468.55,BASELINE
INC-000007,AST-00138,Unauthorized Access,CRITICAL,2026-04-30T07:25:23.401309,2026-05-04T00:25:23.401309,RESOLVED,Unknown,,HIGH,42220.1,BASELINE
INC-000008,AST-00120,Malware,HIGH,2026-04-30T05:36:59.075515,2026-05-01T01:36:59.075515,RESOLVED,Phishing click,CTRL-FW,LOW,5285.11,BASELINE
INC-000009,AST-00030,Phishing,MEDIUM,2026-05-01T05:13:39.801261,2026-05-02T09:13:39.801261,RESOLVED,Third-party compromise,CTRL-AWARE,MEDIUM,327.15,BASELINE
INC-000010,AST-00004,Credential Compromise,CRITICAL,2026-05-06T16:19:22.157567,2026-05-07T12:19:22.157567,RESOLVED,Weak credentials,,HIGH,17518.28,BASELINE
INC-000011,AST-00119,Suspicious Activity,MEDIUM,2026-05-02T22:20:20.197229,2026-05-04T02:20:20.197229,RESOLVED,Weak credentials,CTRL-BACKUP,CRITICAL,2917.21,BASELINE
INC-000012,AST-00199,Data Leakage,CRITICAL,2026-04-27T12:52:16.102716,2026-04-28T16:52:16.102716,RESOLVED,Third-party compromise,,MEDIUM,26372.58,BASELINE
