legacy_case_id,alert_id,created_at,severity,analyst,status,resolution,migrated,migration_timestamp
LEG-00001,ALERT-42839,2026-03-18T14:23:38.249549,CRITICAL,analyst6@example.com,OPEN,Confirmed - accepted risk,False,
LEG-00002,ALERT-28198,2026-04-21T14:23:38.249549,LOW,analyst11@example.com,CLOSED,,True,2026-05-12T14:23:38.249549
LEG-00003,ALERT-17529,2026-01-16T14:23:38.249549,MEDIUM,analyst8@example.com,ESCALATED,Confirmed - accepted risk,True,2026-01-20T14:23:38.249549
LEG-00004,ALERT-56693,2026-05-10T14:23:38.249549,CRITICAL,analyst9@example.com,OPEN,False positive,True,2026-05-24T14:23:38.249549
LEG-00005,ALERT-70602,2026-02-25T14:23:38.249549,LOW,analyst2@example.com,CLOSED,False positive,True,2026-03-20T14:23:38.249549
LEG-00006,ALERT-60209,2026-03-05T14:23:38.249549,CRITICAL,analyst12@example.com,ESCALATED,Confirmed - remediated,True,2026-03-31T14:23:38.249549
LEG-00007,ALERT-57838,2026-04-17T14:23:38.249549,MEDIUM,analyst10@example.com,CLOSED,Confirmed - remediated,False,
LEG-00008,ALERT-58572,2026-05-08T14:23:38.249549,HIGH,analyst9@example.com,OPEN,Confirmed - accepted risk,True,2026-05-11T14:23:38.249549
LEG-00009,ALERT-53364,2026-01-19T14:23:38.249549,CRITICAL,analyst1@example.com,OPEN,Confirmed - accepted risk,False,
LEG-00010,ALERT-24191,2026-04-16T14:23:38.249549,MEDIUM,analyst1@example.com,CLOSED,Confirmed - accepted risk,True,2026-04-22T14:23:38.249549
LEG-00011,ALERT-64036,2026-03-21T14:23:38.249549,HIGH,analyst11@example.com,ESCALATED,Confirmed - accepted risk,True,2026-04-14T14:23:38.249549
LEG-00012,ALERT-28701,2026-04-26T14:23:38.249549,LOW,analyst5@example.com,CLOSED,False positive,True,2026-05-07T14:23:38.249549
LEG-00013,ALERT-76115,2026-02-09T14:23:38.249549,LOW,analyst6@example.com,CLOSED,False positive,True,2026-03-01T14:23:38.249549
LEG-00014,ALERT-61295,2026-04-12T14:23:38.249549,HIGH,analyst12@example.com,CLOSED,Confirmed - remediated,True,2026-04-26T14:23:38.249549
LEG-00015,ALERT-10853,2026-04-15T14:23:38.249549,HIGH,analyst8@example.com,ESCALATED,Confirmed - accepted risk,False,
LEG-00016,ALERT-71009,2026-02-10T14:23:38.249549,LOW,analyst1@example.com,ESCALATED,Confirmed - accepted risk,True,2026-02-14T14:23:38.249549
LEG-00017,ALERT-44543,2026-03-20T14:23:38.249549,MEDIUM,analyst8@example.com,OPEN,False positive,False,
LEG-00018,ALERT-22568,2026-02-18T14:23:38.249549,CRITICAL,analyst1@example.com,ESCALATED,Confirmed - accepted risk,True,2026-03-05T14:23:38.249549
LEG-00019,ALERT-34108,2026-05-03T14:23:38.249549,HIGH,analyst12@example.com,ESCALATED,Confirmed - remediated,True,2026-05-21T14:23:38.249549
LEG-00020,ALERT-39356,2026-01-15T14:23:38.249549,MEDIUM,analyst11@example.com,ESCALATED,,True,2026-01-18T14:23:38.249549
LEG-00021,ALERT-80657,2026-03-14T14:23:38.249549,HIGH,analyst7@example.com,ESCALATED,False positive,True,2026-03-29T14:23:38.249549
LEG-00022,ALERT-59148,2026-03-23T14:23:38.249549,LOW,analyst6@example.com,ESCALATED,False positive,True,2026-04-08T14:23:38.249549
LEG-00023,ALERT-83767,2026-02-05T14:23:38.249549,MEDIUM,analyst1@example.com,ESCALATED,False positive,True,2026-02-07T14:23:38.249549
LEG-00024,ALERT-57590,2026-02-12T14:23:38.249549,LOW,analyst7@example.com,ESCALATED,Confirmed - remediated,True,2026-02-20T14:23:38.249549
LEG-00025,ALERT-73979,2026-02-08T14:23:38.249549,MEDIUM,analyst7@example.com,OPEN,,True,2026-02-09T14:23:38.249549
