vulnerability_id,asset_id,cve_id,severity,cvss_score,discovered_date,due_date,remediation_status,remediation_date,exploit_available,internet_exposed,business_impact
VUL-000001,AST-00002,CVE-2025-43265,LOW,1.6,2026-03-31,2026-04-15,REMEDIATED,2026-06-02,False,True,MEDIUM
VUL-000002,AST-00002,CVE-2025-4440,LOW,1.3,2026-04-08,2026-07-07,REMEDIATED,2026-05-24,False,True,MEDIUM
VUL-000003,AST-00002,CVE-2025-47224,LOW,2.0,2026-03-30,2026-04-29,REMEDIATED,2026-06-22,False,True,MEDIUM
VUL-000004,AST-00002,CVE-2025-21039,HIGH,8.1,2026-04-12,2026-06-11,OPEN,,False,True,MEDIUM
VUL-000005,AST-00003,CVE-2025-57696,MEDIUM,6.1,2026-05-09,2026-07-08,REMEDIATED,2026-06-10,True,False,HIGH
VUL-000006,AST-00003,CVE-2025-13984,CRITICAL,9.7,2026-04-18,2026-05-18,REMEDIATED,2026-07-03,True,False,HIGH
VUL-000007,AST-00003,CVE-2025-23307,HIGH,8.8,2026-04-08,2026-04-23,OPEN,,True,False,HIGH
VUL-000008,AST-00003,CVE-2025-12712,HIGH,7.8,2026-03-28,2026-04-27,REMEDIATED,2026-05-01,True,False,HIGH
VUL-000009,AST-00004,CVE-2025-23730,CRITICAL,9.2,2026-05-09,2026-07-08,REMEDIATED,2026-07-11,True,False,HIGH
VUL-000010,AST-00004,CVE-2025-32947,CRITICAL,9.3,2026-04-15,2026-04-30,REMEDIATED,2026-05-06,False,False,HIGH
VUL-000011,AST-00004,CVE-2025-18483,MEDIUM,4.2,2026-04-18,2026-06-17,REMEDIATED,2026-06-25,False,False,HIGH
VUL-000012,AST-00006,CVE-2025-11241,LOW,0.4,2026-03-14,2026-05-13,OPEN,,False,True,CRITICAL
VUL-000013,AST-00006,CVE-2025-5939,MEDIUM,1006.3,2026-05-05,2026-06-04,REMEDIATED,2026-07-14,False,True,CRITICAL
VUL-000014,AST-00007,CVE-2025-21320,HIGH,8.4,2026-03-25,2026-05-24,OPEN,,False,False,HIGH
VUL-000015,AST-00008,CVE-2025-33517,CRITICAL,9.9,2026-05-06,2026-08-04,REMEDIATED,2026-07-13,False,False,LOW
VUL-000016,AST-00008,CVE-2025-19197,HIGH,8.0,2026-04-15,2026-07-14,OPEN,,False,False,LOW
VUL-000017,AST-00010,CVE-2025-24899,LOW,2.6,2026-04-14,2026-05-14,OPEN,,False,False,MEDIUM
VUL-000018,AST-00010,CVE-2025-21490,HIGH,7.9,2026-04-25,2026-06-24,REMEDIATED,2026-04-30,True,False,MEDIUM
VUL-000019,AST-00010,CVE-2025-30189,LOW,2.6,2026-04-20,2026-07-19,REMEDIATED,2026-06-09,False,False,MEDIUM
VUL-000020,AST-00012,CVE-2025-3486,LOW,0.3,2026-04-27,2026-07-26,REMEDIATED,2026-07-05,True,False,MEDIUM
VUL-000021,AST-00012,CVE-2025-32823,LOW,2.9,2026-04-22,2026-07-21,IN_PROGRESS,,False,False,MEDIUM
VUL-000022,AST-00014,CVE-2025-16930,MEDIUM,5.9,2026-05-08,2026-07-07,IN_PROGRESS,,False,False,HIGH
VUL-000023,AST-00014,CVE-2025-24148,LOW,0.4,2026-04-08,2026-07-07,IN_PROGRESS,,False,False,HIGH
VUL-000024,AST-00014,CVE-2025-50725,CRITICAL,9.4,2026-05-08,2026-07-07,REMEDIATED,2026-07-27,False,False,HIGH
VUL-000025,AST-00014,CVE-2025-47827,HIGH,7.0,2026-04-16,2026-07-15,REMEDIATED,2026-04-25,False,False,HIGH
VUL-000026,AST-00017,CVE-2025-48654,MEDIUM,2026-03-17T14:23:38.249549,2026-03-31,2026-04-30,REMEDIATED,2026-05-20,False,False,LOW
VUL-000027,AST-00017,CVE-2025-35106,HIGH,8.1,2026-04-06,2026-05-06,REMEDIATED,2026-06-01,False,False,LOW
VUL-000028,AST-00018,CVE-2025-6205,LOW,0.9,2026-04-24,2026-06-23,IN_PROGRESS,,False,False,LOW
VUL-000029,AST-00018,CVE-2025-25417,MEDIUM,5.5,2026-04-04,2026-04-19,OPEN,,True,False,LOW
VUL-000030,AST-00019,CVE-2025-53140,MEDIUM,2025-09-01T14:23:38.249549,2026-04-09,2026-04-24,REMEDIATED,2026-05-22,False,False,HIGH
VUL-000031,AST-00019,CVE-2025-29763,MEDIUM,4.1,2026-04-21,2026-05-21,OPEN,,True,False,HIGH
VUL-000032,AST-00019,CVE-2025-22710,CRITICAL,9.8,2026-05-09,2026-05-24,REMEDIATED,2026-07-20,False,False,HIGH
